Temperature, Et, NtSigman, k, chi2
453, 0.552574, 1.82985e-06, -0.0756235, 0.00140514
453, 0.563383, 1.82338e-06, -0.0788884, 0.00140514
453, 0.574191, 1.81848e-06, -0.0813636, 0.00140514
453, 0.585, 1.81477e-06, -0.0832403, 0.00140514
453, 0.595809, 1.81195e-06, -0.0846631, 0.00140514
453, 0.606617, 1.80982e-06, -0.085742, 0.00140514
453, 0.617426, 1.8082e-06, -0.0865601, 0.00140514
453, 0.628235, 1.80697e-06, -0.0871804, 0.00140514
453, 0.639043, 1.80604e-06, -0.0876511, 0.00140514
453, 0.649852, 1.80533e-06, -0.0880081, 0.00140514
453, 0.660661, 1.80479e-06, -0.0882793, 0.00140514
453, 0.67147, 1.80439e-06, -0.0884855, 0.00140514
453, 0.682278, 1.80408e-06, -0.0886426, 0.00140514
453, 0.693087, 1.80384e-06, -0.0887626, 0.00140514
453, 0.703896, 1.80365e-06, -0.088855, 0.00140514
453, 0.714704, 1.80351e-06, -0.0889268, 0.00140514
453, 0.725513, 1.8034e-06, -0.0889836, 0.00140514
453, 0.736322, 1.80331e-06, -0.0890297, 0.00140514
453, 0.74713, 1.80323e-06, -0.0890686, 0.00140514
453, 0.757939, 1.80316e-06, -0.0891035, 0.00140514
453, 0.768748, 1.8031e-06, -0.089137, 0.00140514
453, 0.779556, 1.80303e-06, -0.0891716, 0.00140514
453, 0.790365, 1.80295e-06, -0.0892102, 0.00140514
453, 0.801174, 1.80286e-06, -0.0892555, 0.00140514
453, 0.811982, 1.80275e-06, -0.0893113, 0.00140514
453, 0.822791, 1.80261e-06, -0.0893817, 0.00140514
453, 0.8336, 1.80243e-06, -0.0894725, 0.00140514
453, 0.844409, 1.8022e-06, -0.0895906, 0.00140514
453, 0.855217, 1.80189e-06, -0.0897455, 0.00140514
453, 0.866026, 1.80149e-06, -0.0899496, 0.00140514
453, 0.876835, 1.80095e-06, -0.0902194, 0.00140514
453, 0.887643, 1.80025e-06, -0.0905772, 0.00140514
453, 0.898452, 1.7993e-06, -0.0910529, 0.00140514
453, 0.909261, 1.79805e-06, -0.0916879, 0.00140514
453, 0.920069, 1.79636e-06, -0.0925387, 0.00140514
453, 0.930878, 1.79409e-06, -0.0936852, 0.00140514
453, 0.941687, 1.79101e-06, -0.0952414, 0.00140514
453, 0.952495, 1.78679e-06, -0.0973748, 0.00140514
453, 0.963304, 1.78092e-06, -0.100339, 0.00140514
453, 0.974113, 1.77261e-06, -0.104537, 0.00140514
453, 0.984921, 1.76053e-06, -0.110643, 0.00140514
453, 0.99573, 1.74224e-06, -0.119877, 0.00140514
453, 1.00654, 1.71289e-06, -0.134708, 0.00140514
453, 1.01735, 1.66089e-06, -0.160976, 0.00140514
453, 1.02816, 1.55055e-06, -0.216717, 0.00140514
453, 1.03896, 1.18987e-06, -0.398917, 0.00140514
453, 1.04977, 9.22856e-06, 3.66196, 0.00140514
453, 1.06058, 2.482e-06, 0.253822, 0.00140514
453, 1.07139, 2.20511e-06, 0.113945, 0.00140514
453, 1.0822, 2.11016e-06, 0.0659825, 0.00140514
453, 1.09301, 2.06353e-06, 0.0424268, 0.00140514
453, 1.10382, 2.03665e-06, 0.0288444, 0.00140514
453, 1.11463, 2.01969e-06, 0.0202805, 0.00140514
453, 1.12543, 2.0084e-06, 0.0145734, 0.00140514
443, 0.0430147, 0.0123924, 6176.81, 0.00148669
443, 0.0538544, 0.00932955, 4649.92, 0.00148669
443, 0.0646941, 0.0070238, 3500.47, 0.00148669
443, 0.0755338, 0.00528803, 2635.16, 0.00148669
443, 0.0863735, 0.00398133, 1983.75, 0.00148669
443, 0.0972133, 0.00299764, 1493.37, 0.00148669
443, 0.108053, 0.00225711, 1124.2, 0.00148669
443, 0.118893, 0.00169964, 846.297, 0.00148669
443, 0.129732, 0.00127998, 637.087, 0.00148669
443, 0.140572, 0.000964051, 479.594, 0.00148669
443, 0.151412, 0.000726221, 361.032, 0.00148669
443, 0.162251, 0.000547181, 271.778, 0.00148669
443, 0.173091, 0.0004124, 204.587, 0.00148669
443, 0.183931, 0.000310935, 154.006, 0.00148669
443, 0.194771, 0.000234553, 115.928, 0.00148669
443, 0.20561, 0.000177052, 87.2628, 0.00148669
443, 0.21645, 0.000133765, 65.6836, 0.00148669
443, 0.22729, 0.000101178, 49.4387, 0.00148669
443, 0.238129, 7.66465e-05, 37.2094, 0.00148669
443, 0.248969, 5.81792e-05, 28.0032, 0.00148669
443, 0.259809, 4.42769e-05, 21.0727, 0.00148669
443, 0.270649, 3.38112e-05, 15.8554, 0.00148669
443, 0.281488, 2.59326e-05, 11.9278, 0.00148669
443, 0.292328, 2.00015e-05, 8.97105, 0.00148669
443, 0.303168, 1.55366e-05, 6.74522, 0.00148669
443, 0.314007, 1.21754e-05, 5.06961, 0.00148669
443, 0.324847, 9.64506e-06, 3.80821, 0.00148669
443, 0.335687, 7.74022e-06, 2.85861, 0.00148669
443, 0.346526, 6.30625e-06, 2.14376, 0.00148669
443, 0.357366, 5.22675e-06, 1.60561, 0.00148669
443, 0.368206, 4.41409e-06, 1.20049, 0.00148669
443, 0.379046, 3.80233e-06, 0.895515, 0.00148669
443, 0.389885, 3.34178e-06, 0.665928, 0.00148669
443, 0.400725, 2.99509e-06, 0.493094, 0.00148669
443, 0.411565, 2.73409e-06, 0.362984, 0.00148669
443, 0.422404, 2.53761e-06, 0.265037, 0.00148669
443, 0.433244, 2.3897e-06, 0.191302, 0.00148669
443, 0.444084, 2.27836e-06, 0.135794, 0.00148669
443, 0.454924, 2.19453e-06, 0.0940073, 0.00148669
443, 0.465763, 2.13143e-06, 0.0625502, 0.00148669
443, 0.476603, 2.08393e-06, 0.0388691, 0.00148669
443, 0.487443, 2.04817e-06, 0.0210418, 0.00148669
443, 0.498282, 2.02125e-06, 0.00762132, 0.00148669
443, 0.509122, 2.00098e-06, -0.00248191, 0.00148669
443, 0.519962, 1.98573e-06, -0.0100867, 0.00148669
443, 0.530801, 1.97424e-06, -0.0158125, 0.00148669
443, 0.541641, 1.96559e-06, -0.0201227, 0.00148669
443, 0.552481, 1.95909e-06, -0.0233675, 0.00148669
443, 0.563321, 1.95419e-06, -0.02581, 0.00148669
443, 0.57416, 1.9505e-06, -0.027649, 0.00148669
443, 0.585, 1.94772e-06, -0.0290332, 0.00148669
443, 0.59584, 1.94563e-06, -0.0300754, 0.00148669
443, 0.606679, 1.94406e-06, -0.03086, 0.00148669
443, 0.617519, 1.94287e-06, -0.0314506, 0.00148669
443, 0.628359, 1.94198e-06, -0.0318953, 0.00148669
443, 0.639199, 1.94131e-06, -0.0322301, 0.00148669
443, 0.650038, 1.9408e-06, -0.0324823, 0.00148669
443, 0.660878, 1.94042e-06, -0.0326722, 0.00148669
443, 0.671718, 1.94013e-06, -0.0328154, 0.00148669
443, 0.682557, 1.93992e-06, -0.0329234, 0.00148669
443, 0.693397, 1.93975e-06, -0.033005, 0.00148669
443, 0.704237, 1.93963e-06, -0.0330669, 0.00148669
443, 0.715076, 1.93953e-06, -0.033114, 0.00148669
443, 0.725916, 1.93946e-06, -0.0331502, 0.00148669
443, 0.736756, 1.9394e-06, -0.0331783, 0.00148669
443, 0.747596, 1.93936e-06, -0.0332008, 0.00148669
443, 0.758435, 1.93932e-06, -0.0332194, 0.00148669
443, 0.769275, 1.93929e-06, -0.0332356, 0.00148669
443, 0.780115, 1.93926e-06, -0.0332507, 0.00148669
443, 0.790954, 1.93923e-06, -0.033266, 0.00148669
443, 0.801794, 1.9392e-06, -0.0332827, 0.00148669
443, 0.812634, 1.93916e-06, -0.0333022, 0.00148669
443, 0.823474, 1.93911e-06, -0.033326, 0.00148669
443, 0.834313, 1.93905e-06, -0.0333563, 0.00148669
443, 0.845153, 1.93897e-06, -0.0333953, 0.00148669
443, 0.855993, 1.93887e-06, -0.0334466, 0.00148669
443, 0.866832, 1.93873e-06, -0.0335139, 0.00148669
443, 0.877672, 1.93855e-06, -0.0336035, 0.00148669
443, 0.888512, 1.93831e-06, -0.0337228, 0.00148669
443, 0.899351, 1.93799e-06, -0.0338822, 0.00148669
443, 0.910191, 1.93756e-06, -0.0340963, 0.00148669
443, 0.921031, 1.93699e-06, -0.0343846, 0.00148669
443, 0.931871, 1.9362e-06, -0.0347751, 0.00148669
